Fern Andra
Else Bötticher
Hanne Brinkmann
Esther Carena
Traute Carlsen
Maria Carmi
Rita Clermont
Mia Cordes
Lil Dagover
Tilla Durieux
Blandine Ebinger
Olga Engl
Johanna Ewald
Margarete Ferida
Maria Forescu
Sadjah Gezza
Käthe Haack
Stella Harf
Alice Hechy
Sabine Impekoven
Leopoldine Konstantin
Margarete Kupfer
Lissy Lind
Cläre Lotto
Eva May
Mia May
Lya Mara
Edith Meller
Cordy Millowitsch
Hella Moja
Erna Morena
Anna Müller-Lincke
Pola Negri
Asta Nielsen
Aud Egede-Nissen
Martha Novelly
Ressel Orla
Ossi Oswalda
Henny Porten
Rosa Porten
Frida Richard
Ellen Richter
Lyda Salmonova
Adele Sandrock
Senta Söneland
Magda Sonja
Eva Speyer
Lu Synd
Toni Sylva
Johanna Terwin
Wanda Treumann
Rosa Valetti
Rose Veldtkirch
Hedda Vernon
Elsa Wagner
Dorrit Weixler
Gisela Werbezirk
Emmy Wyda
Maria Zelenka
Manny Ziener
Alfred Abel
Max Adalbert
Hans Albers
Bernd Aldor
Georg Alexander
Carl Auen
Felix Basch
Albert Bassermann
Rudolf Biebrach
Paul Bildt
Curt Bois
Louis Brody
Leo Connard
Gerhard Dammann
Bruno Decarli
Karl Ehmann
Richard Eichberg
Rudolf Essek
Julius Falkenstein
Olaf Fønss
Rudolf Forster
Henrik Galeen
Robert Garrison
Carl Goetz
Curt Goetz
John Gottowt
Emmerich Hanus
Heinz Hanus
Ludwig Hartau
Paul Hartmann
Emil Jannings
Victor Janson
Hans Junkermann
Erich Kaiser-Titz
Fritz Kampers
Bruno Kastner
Friedrich Kayssler
Adolf Klein
Erich Kober
Fritz Kortner
Werner Krauß
Friedrich Kühne
Harry Lamberts-Paulsen
Max Laurence
Rudolf Lettinger
Harry Liedtke
Theodor Loos
Hans Mierendorff
Alexander Moissi
Alwin Neuß
Paul Otto
Max Pallenberg
Lupu Pick
Harry Piel
Franz Porten
Ernst Reicher
Arnold Rieck
Max Ruhbeck
Oscar Sabo
Fred Sauer
Heinrich Schroth
Fritz Schulz
Reinhold Schünzel
Hermann Seldeneck
Ferry Sikla
Fritz Spira
Curt A. Stark
Walter Steinbeck
Hans Stock
Hermann Thimig
Jakob Tiedtke
Ludwig Trautmann
Karl Valentin
Hermann Vallentin
Gustav Waldau
Harry Walden
Aruth Wartan
Paul Wegener
Eduard von Winterstein
Friedrich Zelnik
Wolfgang Zilzer
Truus van Aalten
Marcella Albani
Betty Amann
Charlotte Ander
Lissy Arna
Vilma Bánky
Margit Barnay
Anita Berber
Grete Berger
Elisabeth Bergner
Betty Bird
Valerie Boothby
Renate Brausewetter
Louise Brooks
Mady Christians
María Corda
Yvette Darnys
Maly Delschaft
Xenia Desni
Marlene Dietrich
Josefine Dora
Anita Dorris
Käthe Dorsch
Wera Engels
Lucie Englisch
Evi Eva
Anna Exl
Greta Garbo
Meg Gehrts
Dora Gerson
Valeska Gert
Vivian Gibson
Therese Giehse
Erika Glässner
Dina Gralla
Nora Gregor
Ilka Grüning
Grit Haid
Liane Haid
Lilian Harvey
Grit Hegesa
Brigitte Helm
Trude Hesterberg
Lucie Höflich
Camilla von Hollay
Dary Holm
Evelyn Holt
Camilla Horn
Ria Jende
Jenny Jugo
La Jana
Liesl Karlstadt
Inge Landgut
Marija Leiko
Olga Limburg
Marga Lindt
Lotte Lorring
Helena Makowska
Fee Malten
Lucie Mannheim
Hilde Maroff
Maria Matray
Maria Minzenti
Helga Molander
Sybill Morel
Grete Mosheim
Renate Müller
Käthe von Nagy
Loni Nest
Anny Ondra
Sophie Pagay
Anna von Palen
Mary Parker
Dita Parlo
Maria Paudler
Ida Perry
Elisabeth Pinajeff
Clementine Plessner
Ellen Plessow
Lydia Potechina
Lya de Putti
Hanna Ralph
Grete Reinwald
Hanni Reinwald
Else Reval
Leni Riefenstahl
Claire Rommer
Margarete Schlegel
Alexandra Schmitt
Margarete Schön
Lilli Schoenborn
Julia Serda
Dagny Servaes
Hermine Sterler
Valeska Stock
Hilde von Stolz
Agnes Straub
Charlotte Susa
Toni Tetzlaff
Margot Thisset
Carola Toelle
Christa Tordy
Olga Tschechowa
Manja Tzatschewa
Hilde Wagener
Hedwig Wangel
Hertha von Walther
Hanni Weisse
Gertrud Welcker
Ruth Weyher
Marianne Winkelstern
Anna May Wong
Ida Wüst
Fritz Alberti
Ferdinand von Alten
Siegfried Arno
Ernst Behmer
Hans Behrendt
Henry Bender
Wilhelm Bendow
Charly Berger
Friedrich Berger
Paul Biensfeldt
Hans Brausewetter
Eugen Burg
Conny Carstennsen
Josef Coenen
Josef Commer
Ernst Deutsch
Carl de Vogt
Wilhelm Diegelmann
Gustav Diessl
Wilhelm Dieterle
Hugo Döblin
Max Ehrlich
Karl Etlinger
Ferdinand Exl
Karl Falkenberg
Angelo Ferrari
Hugo Fischer-Köppe
Hugo Flink
Albert Florath
Willi Forst
Harry Frank
Willy Fritsch
Gustav Fröhlich
Alphons Fryland
Jaro Fürth
Otto Gebühr
Heinrich George
Alfred Gerasch
Kurt Gerron
Bernhard Goetzke
Rolf von Goth
Alexander Granach
Fritz Greiner
Max Gülstorff
Harry Halm
Max Hansen
Karl Harbacher
Harry Hardt
Veit Harlan
Paul Hartenstein
Leonhard Haskel
Paul Heidemann
Wolfgang Heinz
Paul Henckels
Julius E. Herrmann
Ernst Hofmann
Oskar Homolka
Paul Hörbiger
Fred Immler
Georg Irmer
Walter Janssen
Georg John
Egon von Jordan
Oskar Karlweis
Charles Willy Kayser
Rudolf Klein-Rogge
Eugen Klöpfer
Carl-Heinz Klubertanz
Arnold Korff
Leopold von Ledebur
František Lederer
Ernst Legal
Fred Louis Lerch
Kurt Lilien
Philipp Manning
Hubert von Meyerinck
Paul Morgan
Albert Paulig
Josef Peterhans
Iván Petrovich
Hermann Picha
Karl Platen
Anton Pointner
Fritz Rasp
Paul Rehkopf
Josef Reithofer
Eugen Rex
Johannes Riemann
Walter Rilla
Rudolf Rittner
Ralph Arthur Roberts
